sep=;
Benchmarks;Instance 1;Instance 2;Instance 3;Instance 4;Instance 5;Instance 6;Instance 7;Instance 8;Instance 9;Instance 10;Instance 11;Instance 12;Instance 13;Instance 14;Instance 15;;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores
f11;5.3959e+00;2.3994e+00;2.7926e+00;4.2978e+00;3.1435e+00;1.7670e+00;1.0915e+00;3.7048e+00;8.4679e+00;2.6872e+00;4.5894e+00;4.1996e-01;3.0145e-02;9.2650e+00;1.8913e+00;;=FLOOR.MATH(-LOG10(B12),1);=FLOOR.MATH(-LOG10(C12),1);=FLOOR.MATH(-LOG10(D12),1);=FLOOR.MATH(-LOG10(E12),1);=FLOOR.MATH(-LOG10(F12),1);=FLOOR.MATH(-LOG10(G12),1);=FLOOR.MATH(-LOG10(H12),1);=FLOOR.MATH(-LOG10(I12),1);=FLOOR.MATH(-LOG10(J12),1);=FLOOR.MATH(-LOG10(K12),1);=FLOOR.MATH(-LOG10(L12),1);=FLOOR.MATH(-LOG10(M12),1);=FLOOR.MATH(-LOG10(N12),1);=FLOOR.MATH(-LOG10(O12),1);=FLOOR.MATH(-LOG10(P12),1)
f12;3.4279e+00;1.1685e-01;2.1348e-01;3.5877e+00;7.5103e-01;6.2331e+00;8.7868e+01;1.2333e+00;4.0020e+00;3.8932e-01;2.5885e+01;1.7437e+01;1.5978e+01;1.0697e-01;3.6569e+00;;=FLOOR.MATH(-LOG10(B13),1);=FLOOR.MATH(-LOG10(C13),1);=FLOOR.MATH(-LOG10(D13),1);=FLOOR.MATH(-LOG10(E13),1);=FLOOR.MATH(-LOG10(F13),1);=FLOOR.MATH(-LOG10(G13),1);=FLOOR.MATH(-LOG10(H13),1);=FLOOR.MATH(-LOG10(I13),1);=FLOOR.MATH(-LOG10(J13),1);=FLOOR.MATH(-LOG10(K13),1);=FLOOR.MATH(-LOG10(L13),1);=FLOOR.MATH(-LOG10(M13),1);=FLOOR.MATH(-LOG10(N13),1);=FLOOR.MATH(-LOG10(O13),1);=FLOOR.MATH(-LOG10(P13),1)
f13;2.9640e-03;3.6861e+00;4.8226e+00;5.2937e-03;1.4334e-03;3.2203e-01;4.7793e+00;1.7074e-03;1.1985e+00;3.8468e-02;3.3831e-01;2.0789e-02;4.6746e-03;6.7244e-01;1.4268e-01;;=FLOOR.MATH(-LOG10(B14),1);=FLOOR.MATH(-LOG10(C14),1);=FLOOR.MATH(-LOG10(D14),1);=FLOOR.MATH(-LOG10(E14),1);=FLOOR.MATH(-LOG10(F14),1);=FLOOR.MATH(-LOG10(G14),1);=FLOOR.MATH(-LOG10(H14),1);=FLOOR.MATH(-LOG10(I14),1);=FLOOR.MATH(-LOG10(J14),1);=FLOOR.MATH(-LOG10(K14),1);=FLOOR.MATH(-LOG10(L14),1);=FLOOR.MATH(-LOG10(M14),1);=FLOOR.MATH(-LOG10(N14),1);=FLOOR.MATH(-LOG10(O14),1);=FLOOR.MATH(-LOG10(P14),1)
f14;1.3137e-05;2.3933e-05;1.8907e-04;3.8730e-06;1.1642e-05;6.6702e-05;7.1275e-06;2.0741e-04;1.7311e-05;1.8103e-06;2.0256e-04;2.4974e-05;7.4959e-05;1.2661e-04;2.2158e-05;;=FLOOR.MATH(-LOG10(B15),1);=FLOOR.MATH(-LOG10(C15),1);=FLOOR.MATH(-LOG10(D15),1);=FLOOR.MATH(-LOG10(E15),1);=FLOOR.MATH(-LOG10(F15),1);=FLOOR.MATH(-LOG10(G15),1);=FLOOR.MATH(-LOG10(H15),1);=FLOOR.MATH(-LOG10(I15),1);=FLOOR.MATH(-LOG10(J15),1);=FLOOR.MATH(-LOG10(K15),1);=FLOOR.MATH(-LOG10(L15),1);=FLOOR.MATH(-LOG10(M15),1);=FLOOR.MATH(-LOG10(N15),1);=FLOOR.MATH(-LOG10(O15),1);=FLOOR.MATH(-LOG10(P15),1)
f15;1.1300e-10;1.9899e+00;9.9496e-01;9.9496e-01;9.9496e-01;1.9899e+00;1.0000e-14;1.0000e-14;1.4415e+00;1.9899e+00;9.9496e-01;9.9496e-01;1.9899e+00;9.9496e-01;9.9496e-01;;=FLOOR.MATH(-LOG10(B16),1);=FLOOR.MATH(-LOG10(C16),1);=FLOOR.MATH(-LOG10(D16),1);=FLOOR.MATH(-LOG10(E16),1);=FLOOR.MATH(-LOG10(F16),1);=FLOOR.MATH(-LOG10(G16),1);=FLOOR.MATH(-LOG10(H16),1);=FLOOR.MATH(-LOG10(I16),1);=FLOOR.MATH(-LOG10(J16),1);=FLOOR.MATH(-LOG10(K16),1);=FLOOR.MATH(-LOG10(L16),1);=FLOOR.MATH(-LOG10(M16),1);=FLOOR.MATH(-LOG10(N16),1);=FLOOR.MATH(-LOG10(O16),1);=FLOOR.MATH(-LOG10(P16),1)
f16;5.2038e-01;9.0807e-03;1.4461e-01;2.1167e-02;5.2273e-01;4.8088e-03;2.4451e-01;8.3498e-04;1.0000e-14;1.0000e-14;1.6480e-03;4.4565e-05;1.0000e-14;5.6385e-02;9.4219e-03;;=FLOOR.MATH(-LOG10(B17),1);=FLOOR.MATH(-LOG10(C17),1);=FLOOR.MATH(-LOG10(D17),1);=FLOOR.MATH(-LOG10(E17),1);=FLOOR.MATH(-LOG10(F17),1);=FLOOR.MATH(-LOG10(G17),1);=FLOOR.MATH(-LOG10(H17),1);=FLOOR.MATH(-LOG10(I17),1);=FLOOR.MATH(-LOG10(J17),1);=FLOOR.MATH(-LOG10(K17),1);=FLOOR.MATH(-LOG10(L17),1);=FLOOR.MATH(-LOG10(M17),1);=FLOOR.MATH(-LOG10(N17),1);=FLOOR.MATH(-LOG10(O17),1);=FLOOR.MATH(-LOG10(P17),1)
f17;6.3913e-01;4.0959e-03;7.6739e-12;1.2790e-13;2.3590e-12;9.1528e-02;3.9329e-02;4.2633e-14;2.0674e-07;1.0000e-14;6.7387e-05;1.9609e-07;2.4567e-02;4.5247e-11;2.3714e-07;;=FLOOR.MATH(-LOG10(B18),1);=FLOOR.MATH(-LOG10(C18),1);=FLOOR.MATH(-LOG10(D18),1);=FLOOR.MATH(-LOG10(E18),1);=FLOOR.MATH(-LOG10(F18),1);=FLOOR.MATH(-LOG10(G18),1);=FLOOR.MATH(-LOG10(H18),1);=FLOOR.MATH(-LOG10(I18),1);=FLOOR.MATH(-LOG10(J18),1);=FLOOR.MATH(-LOG10(K18),1);=FLOOR.MATH(-LOG10(L18),1);=FLOOR.MATH(-LOG10(M18),1);=FLOOR.MATH(-LOG10(N18),1);=FLOOR.MATH(-LOG10(O18),1);=FLOOR.MATH(-LOG10(P18),1)
f18;2.5646e-01;3.9365e-02;4.2299e-02;8.2206e-04;9.3388e-02;2.1949e-03;1.5010e-02;1.3269e+00;2.1350e+00;2.8778e-05;4.8141e-01;3.9765e-02;2.2473e-01;4.5193e-03;1.6266e-02;;=FLOOR.MATH(-LOG10(B19),1);=FLOOR.MATH(-LOG10(C19),1);=FLOOR.MATH(-LOG10(D19),1);=FLOOR.MATH(-LOG10(E19),1);=FLOOR.MATH(-LOG10(F19),1);=FLOOR.MATH(-LOG10(G19),1);=FLOOR.MATH(-LOG10(H19),1);=FLOOR.MATH(-LOG10(I19),1);=FLOOR.MATH(-LOG10(J19),1);=FLOOR.MATH(-LOG10(K19),1);=FLOOR.MATH(-LOG10(L19),1);=FLOOR.MATH(-LOG10(M19),1);=FLOOR.MATH(-LOG10(N19),1);=FLOOR.MATH(-LOG10(O19),1);=FLOOR.MATH(-LOG10(P19),1)
f19;1.1749e-02;8.5110e-04;2.3562e-02;6.7895e-02;1.5283e-02;9.2470e-03;5.0922e-02;2.4090e-02;6.9073e-02;3.3486e-01;6.3644e-05;4.1512e-02;3.1976e-03;1.3265e-04;8.4738e-02;;=FLOOR.MATH(-LOG10(B20),1);=FLOOR.MATH(-LOG10(C20),1);=FLOOR.MATH(-LOG10(D20),1);=FLOOR.MATH(-LOG10(E20),1);=FLOOR.MATH(-LOG10(F20),1);=FLOOR.MATH(-LOG10(G20),1);=FLOOR.MATH(-LOG10(H20),1);=FLOOR.MATH(-LOG10(I20),1);=FLOOR.MATH(-LOG10(J20),1);=FLOOR.MATH(-LOG10(K20),1);=FLOOR.MATH(-LOG10(L20),1);=FLOOR.MATH(-LOG10(M20),1);=FLOOR.MATH(-LOG10(N20),1);=FLOOR.MATH(-LOG10(O20),1);=FLOOR.MATH(-LOG10(P20),1)
f20;1.0000e-14;3.9479e-01;3.9479e-01;1.0000e-14;3.9479e-01;3.9479e-01;1.0000e-14;7.9295e-05;1.0000e-14;3.9479e-01;3.9479e-01;1.0000e-14;1.0000e-14;3.9479e-01;1.0000e-14;;=FLOOR.MATH(-LOG10(B21),1);=FLOOR.MATH(-LOG10(C21),1);=FLOOR.MATH(-LOG10(D21),1);=FLOOR.MATH(-LOG10(E21),1);=FLOOR.MATH(-LOG10(F21),1);=FLOOR.MATH(-LOG10(G21),1);=FLOOR.MATH(-LOG10(H21),1);=FLOOR.MATH(-LOG10(I21),1);=FLOOR.MATH(-LOG10(J21),1);=FLOOR.MATH(-LOG10(K21),1);=FLOOR.MATH(-LOG10(L21),1);=FLOOR.MATH(-LOG10(M21),1);=FLOOR.MATH(-LOG10(N21),1);=FLOOR.MATH(-LOG10(O21),1);=FLOOR.MATH(-LOG10(P21),1)
f21;1.0000e-14;9.3000e-01;9.3000e-01;1.0000e-14;1.0000e-14;1.0000e-14;9.3000e-01;1.0000e-14;6.9186e-01;6.9186e-01;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;;=FLOOR.MATH(-LOG10(B22),1);=FLOOR.MATH(-LOG10(C22),1);=FLOOR.MATH(-LOG10(D22),1);=FLOOR.MATH(-LOG10(E22),1);=FLOOR.MATH(-LOG10(F22),1);=FLOOR.MATH(-LOG10(G22),1);=FLOOR.MATH(-LOG10(H22),1);=FLOOR.MATH(-LOG10(I22),1);=FLOOR.MATH(-LOG10(J22),1);=FLOOR.MATH(-LOG10(K22),1);=FLOOR.MATH(-LOG10(L22),1);=FLOOR.MATH(-LOG10(M22),1);=FLOOR.MATH(-LOG10(N22),1);=FLOOR.MATH(-LOG10(O22),1);=FLOOR.MATH(-LOG10(P22),1)
f22;8.1059e-11;2.4943e-10;1.0000e-14;1.0000e-14;3.5527e-14;1.0000e-14;1.0000e-14;6.9186e-01;4.1806e-07;1.0000e-14;6.9186e-01;1.5859e-09;1.0000e-14;6.9186e-01;6.9186e-01;;=FLOOR.MATH(-LOG10(B23),1);=FLOOR.MATH(-LOG10(C23),1);=FLOOR.MATH(-LOG10(D23),1);=FLOOR.MATH(-LOG10(E23),1);=FLOOR.MATH(-LOG10(F23),1);=FLOOR.MATH(-LOG10(G23),1);=FLOOR.MATH(-LOG10(H23),1);=FLOOR.MATH(-LOG10(I23),1);=FLOOR.MATH(-LOG10(J23),1);=FLOOR.MATH(-LOG10(K23),1);=FLOOR.MATH(-LOG10(L23),1);=FLOOR.MATH(-LOG10(M23),1);=FLOOR.MATH(-LOG10(N23),1);=FLOOR.MATH(-LOG10(O23),1);=FLOOR.MATH(-LOG10(P23),1)
f23;1.3884e-01;4.0605e-01;3.1463e-01;1.2313e+00;1.2934e-01;3.6520e-01;6.8841e-01;3.1231e-01;7.6983e-01;8.1136e-01;2.4047e-01;4.3434e-01;3.1592e-01;4.7517e-02;6.6336e-02;;=FLOOR.MATH(-LOG10(B24),1);=FLOOR.MATH(-LOG10(C24),1);=FLOOR.MATH(-LOG10(D24),1);=FLOOR.MATH(-LOG10(E24),1);=FLOOR.MATH(-LOG10(F24),1);=FLOOR.MATH(-LOG10(G24),1);=FLOOR.MATH(-LOG10(H24),1);=FLOOR.MATH(-LOG10(I24),1);=FLOOR.MATH(-LOG10(J24),1);=FLOOR.MATH(-LOG10(K24),1);=FLOOR.MATH(-LOG10(L24),1);=FLOOR.MATH(-LOG10(M24),1);=FLOOR.MATH(-LOG10(N24),1);=FLOOR.MATH(-LOG10(O24),1);=FLOOR.MATH(-LOG10(P24),1)
f24;8.5055e-01;3.2491e+00;3.8295e+00;3.4774e+00;3.8608e+00;3.4006e+00;3.7816e+00;1.3197e-01;3.7104e+00;3.4420e+00;3.2387e+00;3.6825e+00;4.7745e+00;3.7594e+00;3.2085e+00;;=FLOOR.MATH(-LOG10(B25),1);=FLOOR.MATH(-LOG10(C25),1);=FLOOR.MATH(-LOG10(D25),1);=FLOOR.MATH(-LOG10(E25),1);=FLOOR.MATH(-LOG10(F25),1);=FLOOR.MATH(-LOG10(G25),1);=FLOOR.MATH(-LOG10(H25),1);=FLOOR.MATH(-LOG10(I25),1);=FLOOR.MATH(-LOG10(J25),1);=FLOOR.MATH(-LOG10(K25),1);=FLOOR.MATH(-LOG10(L25),1);=FLOOR.MATH(-LOG10(M25),1);=FLOOR.MATH(-LOG10(N25),1);=FLOOR.MATH(-LOG10(O25),1);=FLOOR.MATH(-LOG10(P25),1)
;;;;;;;;;;;;;;;;;Total;=SUM(R2:AF25)

