sep=;
DIMENSION 2-D
Benchmarks;Instance 1;Instance 2;Instance 3;Instance 4;Instance 5;Instance 6;Instance 7;Instance 8;Instance 9;Instance 10;Instance 11;Instance 12;Instance 13;Instance 14;Instance 15;;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores
f11;9.4683e-02;3.3855e+01;1.5521e-02;4.9825e-01;1.0557e-01;4.4087e-04;2.0436e+00;1.2288e+01;5.6679e+00;2.4283e+00;7.8512e+00;1.0278e-01;9.9830e+00;2.1143e-01;3.2803e-01;;=FLOOR.MATH(-LOG10(B13),1);=FLOOR.MATH(-LOG10(C13),1);=FLOOR.MATH(-LOG10(D13),1);=FLOOR.MATH(-LOG10(E13),1);=FLOOR.MATH(-LOG10(F13),1);=FLOOR.MATH(-LOG10(G13),1);=FLOOR.MATH(-LOG10(H13),1);=FLOOR.MATH(-LOG10(I13),1);=FLOOR.MATH(-LOG10(J13),1);=FLOOR.MATH(-LOG10(K13),1);=FLOOR.MATH(-LOG10(L13),1);=FLOOR.MATH(-LOG10(M13),1);=FLOOR.MATH(-LOG10(N13),1);=FLOOR.MATH(-LOG10(O13),1);=FLOOR.MATH(-LOG10(P13),1)
f12;1.0000e-14;1.0000e-14;1.9366e+01;1.4281e+00;1.0000e-14;1.9253e+00;1.1930e+01;1.4563e+00;1.0000e-14;1.0000e-14;1.0000e-14;2.6797e-02;1.0000e-14;9.7340e-02;1.0000e-14;;=FLOOR.MATH(-LOG10(B14),1);=FLOOR.MATH(-LOG10(C14),1);=FLOOR.MATH(-LOG10(D14),1);=FLOOR.MATH(-LOG10(E14),1);=FLOOR.MATH(-LOG10(F14),1);=FLOOR.MATH(-LOG10(G14),1);=FLOOR.MATH(-LOG10(H14),1);=FLOOR.MATH(-LOG10(I14),1);=FLOOR.MATH(-LOG10(J14),1);=FLOOR.MATH(-LOG10(K14),1);=FLOOR.MATH(-LOG10(L14),1);=FLOOR.MATH(-LOG10(M14),1);=FLOOR.MATH(-LOG10(N14),1);=FLOOR.MATH(-LOG10(O14),1);=FLOOR.MATH(-LOG10(P14),1)
f13;2.2011e-04;3.1520e-03;2.2716e-03;1.0710e-03;1.6614e-01;3.4427e-04;7.0635e-03;1.5246e-01;7.2946e-03;9.4515e-04;3.5355e-05;1.6914e-03;7.4611e-02;7.7967e-02;4.2124e-02;;=FLOOR.MATH(-LOG10(B15),1);=FLOOR.MATH(-LOG10(C15),1);=FLOOR.MATH(-LOG10(D15),1);=FLOOR.MATH(-LOG10(E15),1);=FLOOR.MATH(-LOG10(F15),1);=FLOOR.MATH(-LOG10(G15),1);=FLOOR.MATH(-LOG10(H15),1);=FLOOR.MATH(-LOG10(I15),1);=FLOOR.MATH(-LOG10(J15),1);=FLOOR.MATH(-LOG10(K15),1);=FLOOR.MATH(-LOG10(L15),1);=FLOOR.MATH(-LOG10(M15),1);=FLOOR.MATH(-LOG10(N15),1);=FLOOR.MATH(-LOG10(O15),1);=FLOOR.MATH(-LOG10(P15),1)
f14;5.4641e-06;2.5956e-05;1.2885e-06;6.7188e-06;1.0722e-05;6.1188e-06;4.3723e-08;1.5910e-06;1.6099e-05;2.7277e-05;4.2135e-05;5.1761e-06;2.6979e-06;5.6030e-06;1.7261e-05;;=FLOOR.MATH(-LOG10(B16),1);=FLOOR.MATH(-LOG10(C16),1);=FLOOR.MATH(-LOG10(D16),1);=FLOOR.MATH(-LOG10(E16),1);=FLOOR.MATH(-LOG10(F16),1);=FLOOR.MATH(-LOG10(G16),1);=FLOOR.MATH(-LOG10(H16),1);=FLOOR.MATH(-LOG10(I16),1);=FLOOR.MATH(-LOG10(J16),1);=FLOOR.MATH(-LOG10(K16),1);=FLOOR.MATH(-LOG10(L16),1);=FLOOR.MATH(-LOG10(M16),1);=FLOOR.MATH(-LOG10(N16),1);=FLOOR.MATH(-LOG10(O16),1);=FLOOR.MATH(-LOG10(P16),1)
f15;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;;=FLOOR.MATH(-LOG10(B17),1);=FLOOR.MATH(-LOG10(C17),1);=FLOOR.MATH(-LOG10(D17),1);=FLOOR.MATH(-LOG10(E17),1);=FLOOR.MATH(-LOG10(F17),1);=FLOOR.MATH(-LOG10(G17),1);=FLOOR.MATH(-LOG10(H17),1);=FLOOR.MATH(-LOG10(I17),1);=FLOOR.MATH(-LOG10(J17),1);=FLOOR.MATH(-LOG10(K17),1);=FLOOR.MATH(-LOG10(L17),1);=FLOOR.MATH(-LOG10(M17),1);=FLOOR.MATH(-LOG10(N17),1);=FLOOR.MATH(-LOG10(O17),1);=FLOOR.MATH(-LOG10(P17),1)
f16;1.0000e-14;6.8212e-13;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;4.0750e-12;1.0000e-14;;=FLOOR.MATH(-LOG10(B18),1);=FLOOR.MATH(-LOG10(C18),1);=FLOOR.MATH(-LOG10(D18),1);=FLOOR.MATH(-LOG10(E18),1);=FLOOR.MATH(-LOG10(F18),1);=FLOOR.MATH(-LOG10(G18),1);=FLOOR.MATH(-LOG10(H18),1);=FLOOR.MATH(-LOG10(I18),1);=FLOOR.MATH(-LOG10(J18),1);=FLOOR.MATH(-LOG10(K18),1);=FLOOR.MATH(-LOG10(L18),1);=FLOOR.MATH(-LOG10(M18),1);=FLOOR.MATH(-LOG10(N18),1);=FLOOR.MATH(-LOG10(O18),1);=FLOOR.MATH(-LOG10(P18),1)
f17;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;2.8422e-14;2.8778e-05;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;2.8422e-14;1.0000e-14;;=FLOOR.MATH(-LOG10(B19),1);=FLOOR.MATH(-LOG10(C19),1);=FLOOR.MATH(-LOG10(D19),1);=FLOOR.MATH(-LOG10(E19),1);=FLOOR.MATH(-LOG10(F19),1);=FLOOR.MATH(-LOG10(G19),1);=FLOOR.MATH(-LOG10(H19),1);=FLOOR.MATH(-LOG10(I19),1);=FLOOR.MATH(-LOG10(J19),1);=FLOOR.MATH(-LOG10(K19),1);=FLOOR.MATH(-LOG10(L19),1);=FLOOR.MATH(-LOG10(M19),1);=FLOOR.MATH(-LOG10(N19),1);=FLOOR.MATH(-LOG10(O19),1);=FLOOR.MATH(-LOG10(P19),1)
f18;2.8778e-05;4.9738e-14;2.8778e-05;1.8545e-09;3.0213e-03;2.2949e-04;2.8778e-05;3.4876e-07;1.5730e-01;7.1937e-05;2.8778e-05;9.8279e-04;1.0662e-06;2.3244e-04;3.0213e-03;;=FLOOR.MATH(-LOG10(B20),1);=FLOOR.MATH(-LOG10(C20),1);=FLOOR.MATH(-LOG10(D20),1);=FLOOR.MATH(-LOG10(E20),1);=FLOOR.MATH(-LOG10(F20),1);=FLOOR.MATH(-LOG10(G20),1);=FLOOR.MATH(-LOG10(H20),1);=FLOOR.MATH(-LOG10(I20),1);=FLOOR.MATH(-LOG10(J20),1);=FLOOR.MATH(-LOG10(K20),1);=FLOOR.MATH(-LOG10(L20),1);=FLOOR.MATH(-LOG10(M20),1);=FLOOR.MATH(-LOG10(N20),1);=FLOOR.MATH(-LOG10(O20),1);=FLOOR.MATH(-LOG10(P20),1)
f19;3.1416e-02;2.1316e-13;3.1549e-09;1.9732e-11;3.1081e-08;5.6559e-12;1.5708e-02;2.6356e-06;1.0000e-14;1.1369e-13;1.5708e-02;4.5475e-13;2.8422e-14;5.4431e-05;3.5759e-09;;=FLOOR.MATH(-LOG10(B21),1);=FLOOR.MATH(-LOG10(C21),1);=FLOOR.MATH(-LOG10(D21),1);=FLOOR.MATH(-LOG10(E21),1);=FLOOR.MATH(-LOG10(F21),1);=FLOOR.MATH(-LOG10(G21),1);=FLOOR.MATH(-LOG10(H21),1);=FLOOR.MATH(-LOG10(I21),1);=FLOOR.MATH(-LOG10(J21),1);=FLOOR.MATH(-LOG10(K21),1);=FLOOR.MATH(-LOG10(L21),1);=FLOOR.MATH(-LOG10(M21),1);=FLOOR.MATH(-LOG10(N21),1);=FLOOR.MATH(-LOG10(O21),1);=FLOOR.MATH(-LOG10(P21),1)
f20;1.0000e-14;1.0000e-14;5.9219e-01;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;5.9219e-01;1.0000e-14;5.9219e-01;1.0000e-14;1.0000e-14;1.7053e-13;1.0000e-14;1.0000e-14;;=FLOOR.MATH(-LOG10(B22),1);=FLOOR.MATH(-LOG10(C22),1);=FLOOR.MATH(-LOG10(D22),1);=FLOOR.MATH(-LOG10(E22),1);=FLOOR.MATH(-LOG10(F22),1);=FLOOR.MATH(-LOG10(G22),1);=FLOOR.MATH(-LOG10(H22),1);=FLOOR.MATH(-LOG10(I22),1);=FLOOR.MATH(-LOG10(J22),1);=FLOOR.MATH(-LOG10(K22),1);=FLOOR.MATH(-LOG10(L22),1);=FLOOR.MATH(-LOG10(M22),1);=FLOOR.MATH(-LOG10(N22),1);=FLOOR.MATH(-LOG10(O22),1);=FLOOR.MATH(-LOG10(P22),1)
f21;1.0000e-14;1.0000e-14;1.0000e-14;6.9186e-01;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.2453e+00;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;;=FLOOR.MATH(-LOG10(B23),1);=FLOOR.MATH(-LOG10(C23),1);=FLOOR.MATH(-LOG10(D23),1);=FLOOR.MATH(-LOG10(E23),1);=FLOOR.MATH(-LOG10(F23),1);=FLOOR.MATH(-LOG10(G23),1);=FLOOR.MATH(-LOG10(H23),1);=FLOOR.MATH(-LOG10(I23),1);=FLOOR.MATH(-LOG10(J23),1);=FLOOR.MATH(-LOG10(K23),1);=FLOOR.MATH(-LOG10(L23),1);=FLOOR.MATH(-LOG10(M23),1);=FLOOR.MATH(-LOG10(N23),1);=FLOOR.MATH(-LOG10(O23),1);=FLOOR.MATH(-LOG10(P23),1)
f22;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;;=FLOOR.MATH(-LOG10(B24),1);=FLOOR.MATH(-LOG10(C24),1);=FLOOR.MATH(-LOG10(D24),1);=FLOOR.MATH(-LOG10(E24),1);=FLOOR.MATH(-LOG10(F24),1);=FLOOR.MATH(-LOG10(G24),1);=FLOOR.MATH(-LOG10(H24),1);=FLOOR.MATH(-LOG10(I24),1);=FLOOR.MATH(-LOG10(J24),1);=FLOOR.MATH(-LOG10(K24),1);=FLOOR.MATH(-LOG10(L24),1);=FLOOR.MATH(-LOG10(M24),1);=FLOOR.MATH(-LOG10(N24),1);=FLOOR.MATH(-LOG10(O24),1);=FLOOR.MATH(-LOG10(P24),1)
f23;7.3655e-01;1.9145e-01;5.8984e-01;1.3657e-01;5.4687e-01;1.4557e-01;2.8964e-01;3.0283e-01;8.6985e-03;3.4717e-01;3.2790e-04;2.1717e-02;9.7032e-02;1.0314e-01;2.3867e-03;;=FLOOR.MATH(-LOG10(B25),1);=FLOOR.MATH(-LOG10(C25),1);=FLOOR.MATH(-LOG10(D25),1);=FLOOR.MATH(-LOG10(E25),1);=FLOOR.MATH(-LOG10(F25),1);=FLOOR.MATH(-LOG10(G25),1);=FLOOR.MATH(-LOG10(H25),1);=FLOOR.MATH(-LOG10(I25),1);=FLOOR.MATH(-LOG10(J25),1);=FLOOR.MATH(-LOG10(K25),1);=FLOOR.MATH(-LOG10(L25),1);=FLOOR.MATH(-LOG10(M25),1);=FLOOR.MATH(-LOG10(N25),1);=FLOOR.MATH(-LOG10(O25),1);=FLOOR.MATH(-LOG10(P25),1)
f24;2.0197e+00;4.4621e-07;1.5839e-01;2.3573e-01;2.0005e+00;2.0238e+00;2.0587e+00;2.0854e+00;2.0564e+00;2.0688e+00;2.0312e+00;2.0157e+00;2.1024e+00;2.0442e+00;6.7961e-02;;=FLOOR.MATH(-LOG10(B26),1);=FLOOR.MATH(-LOG10(C26),1);=FLOOR.MATH(-LOG10(D26),1);=FLOOR.MATH(-LOG10(E26),1);=FLOOR.MATH(-LOG10(F26),1);=FLOOR.MATH(-LOG10(G26),1);=FLOOR.MATH(-LOG10(H26),1);=FLOOR.MATH(-LOG10(I26),1);=FLOOR.MATH(-LOG10(J26),1);=FLOOR.MATH(-LOG10(K26),1);=FLOOR.MATH(-LOG10(L26),1);=FLOOR.MATH(-LOG10(M26),1);=FLOOR.MATH(-LOG10(N26),1);=FLOOR.MATH(-LOG10(O26),1);=FLOOR.MATH(-LOG10(P26),1)
;;;;;;;;;;;;;;;;;Total;=SUM(R3:AF26)

DIMENSION 3-D
Benchmarks;Instance 1;Instance 2;Instance 3;Instance 4;Instance 5;Instance 6;Instance 7;Instance 8;Instance 9;Instance 10;Instance 11;Instance 12;Instance 13;Instance 14;Instance 15;;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores
f1;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;;=FLOOR.MATH(-LOG10(B31),1);=FLOOR.MATH(-LOG10(C31),1);=FLOOR.MATH(-LOG10(D31),1);=FLOOR.MATH(-LOG10(E31),1);=FLOOR.MATH(-LOG10(F31),1);=FLOOR.MATH(-LOG10(G31),1);=FLOOR.MATH(-LOG10(H31),1);=FLOOR.MATH(-LOG10(I31),1);=FLOOR.MATH(-LOG10(J31),1);=FLOOR.MATH(-LOG10(K31),1);=FLOOR.MATH(-LOG10(L31),1);=FLOOR.MATH(-LOG10(M31),1);=FLOOR.MATH(-LOG10(N31),1);=FLOOR.MATH(-LOG10(O31),1);=FLOOR.MATH(-LOG10(P31),1)
f2;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;;=FLOOR.MATH(-LOG10(B32),1);=FLOOR.MATH(-LOG10(C32),1);=FLOOR.MATH(-LOG10(D32),1);=FLOOR.MATH(-LOG10(E32),1);=FLOOR.MATH(-LOG10(F32),1);=FLOOR.MATH(-LOG10(G32),1);=FLOOR.MATH(-LOG10(H32),1);=FLOOR.MATH(-LOG10(I32),1);=FLOOR.MATH(-LOG10(J32),1);=FLOOR.MATH(-LOG10(K32),1);=FLOOR.MATH(-LOG10(L32),1);=FLOOR.MATH(-LOG10(M32),1);=FLOOR.MATH(-LOG10(N32),1);=FLOOR.MATH(-LOG10(O32),1);=FLOOR.MATH(-LOG10(P32),1)
f3;2.1373e-11;1.0000e-14;9.9496e-01;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.3173e-05;1.0000e-14;9.9496e-01;;=FLOOR.MATH(-LOG10(B33),1);=FLOOR.MATH(-LOG10(C33),1);=FLOOR.MATH(-LOG10(D33),1);=FLOOR.MATH(-LOG10(E33),1);=FLOOR.MATH(-LOG10(F33),1);=FLOOR.MATH(-LOG10(G33),1);=FLOOR.MATH(-LOG10(H33),1);=FLOOR.MATH(-LOG10(I33),1);=FLOOR.MATH(-LOG10(J33),1);=FLOOR.MATH(-LOG10(K33),1);=FLOOR.MATH(-LOG10(L33),1);=FLOOR.MATH(-LOG10(M33),1);=FLOOR.MATH(-LOG10(N33),1);=FLOOR.MATH(-LOG10(O33),1);=FLOOR.MATH(-LOG10(P33),1)
f4;9.9496e-01;9.9496e-01;1.0000e-14;5.9555e-03;1.0000e-14;2.1714e-11;2.8422e-14;3.9798e+00;9.9496e-01;1.9899e+00;9.9496e-01;1.0000e-14;1.9899e+00;1.0000e-14;1.0000e-14;;=FLOOR.MATH(-LOG10(B34),1);=FLOOR.MATH(-LOG10(C34),1);=FLOOR.MATH(-LOG10(D34),1);=FLOOR.MATH(-LOG10(E34),1);=FLOOR.MATH(-LOG10(F34),1);=FLOOR.MATH(-LOG10(G34),1);=FLOOR.MATH(-LOG10(H34),1);=FLOOR.MATH(-LOG10(I34),1);=FLOOR.MATH(-LOG10(J34),1);=FLOOR.MATH(-LOG10(K34),1);=FLOOR.MATH(-LOG10(L34),1);=FLOOR.MATH(-LOG10(M34),1);=FLOOR.MATH(-LOG10(N34),1);=FLOOR.MATH(-LOG10(O34),1);=FLOOR.MATH(-LOG10(P34),1)
f5;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;;=FLOOR.MATH(-LOG10(B35),1);=FLOOR.MATH(-LOG10(C35),1);=FLOOR.MATH(-LOG10(D35),1);=FLOOR.MATH(-LOG10(E35),1);=FLOOR.MATH(-LOG10(F35),1);=FLOOR.MATH(-LOG10(G35),1);=FLOOR.MATH(-LOG10(H35),1);=FLOOR.MATH(-LOG10(I35),1);=FLOOR.MATH(-LOG10(J35),1);=FLOOR.MATH(-LOG10(K35),1);=FLOOR.MATH(-LOG10(L35),1);=FLOOR.MATH(-LOG10(M35),1);=FLOOR.MATH(-LOG10(N35),1);=FLOOR.MATH(-LOG10(O35),1);=FLOOR.MATH(-LOG10(P35),1)
