sep=;
Benchmarks;Instance 1;Instance 2;Instance 3;Instance 4;Instance 5;Instance 6;Instance 7;Instance 8;Instance 9;Instance 10;Instance 11;Instance 12;Instance 13;Instance 14;Instance 15;;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores
f1;7.6889e-04;3.9229e-03;4.2003e-01;2.9552e-03;1.9683e-02;1.1385e-02;7.2523e-03;1.9346e-01;2.8586e+00;1.9515e-02;3.3235e+00;6.6244e-01;2.6464e-03;5.1808e-03;1.3356e+00;;=FLOOR.MATH(-LOG10(B2),1);=FLOOR.MATH(-LOG10(C2),1);=FLOOR.MATH(-LOG10(D2),1);=FLOOR.MATH(-LOG10(E2),1);=FLOOR.MATH(-LOG10(F2),1);=FLOOR.MATH(-LOG10(G2),1);=FLOOR.MATH(-LOG10(H2),1);=FLOOR.MATH(-LOG10(I2),1);=FLOOR.MATH(-LOG10(J2),1);=FLOOR.MATH(-LOG10(K2),1);=FLOOR.MATH(-LOG10(L2),1);=FLOOR.MATH(-LOG10(M2),1);=FLOOR.MATH(-LOG10(N2),1);=FLOOR.MATH(-LOG10(O2),1);=FLOOR.MATH(-LOG10(P2),1)
f2;1.0000e+03;1.0000e+03;1.0000e+03;2.6208e+02;1.0000e+03;1.0000e+03;3.1860e+02;1.0000e+03;1.0000e+03;1.0000e+03;2.7324e+02;1.9490e+02;9.9615e+02;1.0000e+03;9.7450e+02;;=FLOOR.MATH(-LOG10(B3),1);=FLOOR.MATH(-LOG10(C3),1);=FLOOR.MATH(-LOG10(D3),1);=FLOOR.MATH(-LOG10(E3),1);=FLOOR.MATH(-LOG10(F3),1);=FLOOR.MATH(-LOG10(G3),1);=FLOOR.MATH(-LOG10(H3),1);=FLOOR.MATH(-LOG10(I3),1);=FLOOR.MATH(-LOG10(J3),1);=FLOOR.MATH(-LOG10(K3),1);=FLOOR.MATH(-LOG10(L3),1);=FLOOR.MATH(-LOG10(M3),1);=FLOOR.MATH(-LOG10(N3),1);=FLOOR.MATH(-LOG10(O3),1);=FLOOR.MATH(-LOG10(P3),1)
f3;6.4629e+01;2.7965e+01;2.7539e+01;9.6411e+01;5.7855e+01;6.5221e+01;5.2742e+01;6.3441e+01;7.0258e+01;4.4452e+01;4.9351e+01;6.1145e+01;8.4839e+01;7.4084e+01;6.0041e+01;;=FLOOR.MATH(-LOG10(B4),1);=FLOOR.MATH(-LOG10(C4),1);=FLOOR.MATH(-LOG10(D4),1);=FLOOR.MATH(-LOG10(E4),1);=FLOOR.MATH(-LOG10(F4),1);=FLOOR.MATH(-LOG10(G4),1);=FLOOR.MATH(-LOG10(H4),1);=FLOOR.MATH(-LOG10(I4),1);=FLOOR.MATH(-LOG10(J4),1);=FLOOR.MATH(-LOG10(K4),1);=FLOOR.MATH(-LOG10(L4),1);=FLOOR.MATH(-LOG10(M4),1);=FLOOR.MATH(-LOG10(N4),1);=FLOOR.MATH(-LOG10(O4),1);=FLOOR.MATH(-LOG10(P4),1)
f4;1.1737e+02;1.5941e+02;9.7657e+01;7.4866e+01;1.1365e+02;9.7258e+01;6.4131e+01;7.2805e+01;1.1013e+02;1.0412e+02;9.3713e+01;7.8319e+01;1.1488e+02;6.5327e+01;6.8558e+01;;=FLOOR.MATH(-LOG10(B5),1);=FLOOR.MATH(-LOG10(C5),1);=FLOOR.MATH(-LOG10(D5),1);=FLOOR.MATH(-LOG10(E5),1);=FLOOR.MATH(-LOG10(F5),1);=FLOOR.MATH(-LOG10(G5),1);=FLOOR.MATH(-LOG10(H5),1);=FLOOR.MATH(-LOG10(I5),1);=FLOOR.MATH(-LOG10(J5),1);=FLOOR.MATH(-LOG10(K5),1);=FLOOR.MATH(-LOG10(L5),1);=FLOOR.MATH(-LOG10(M5),1);=FLOOR.MATH(-LOG10(N5),1);=FLOOR.MATH(-LOG10(O5),1);=FLOOR.MATH(-LOG10(P5),1)
f5;2.1316e-14;1.1369e-13;1.0000e-14;4.7058e+01;1.4211e-14;1.1288e+01;2.8422e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0658e-14;1.1369e-13;2.8422e-14;1.4211e-14;2.7534e-14;;=FLOOR.MATH(-LOG10(B6),1);=FLOOR.MATH(-LOG10(C6),1);=FLOOR.MATH(-LOG10(D6),1);=FLOOR.MATH(-LOG10(E6),1);=FLOOR.MATH(-LOG10(F6),1);=FLOOR.MATH(-LOG10(G6),1);=FLOOR.MATH(-LOG10(H6),1);=FLOOR.MATH(-LOG10(I6),1);=FLOOR.MATH(-LOG10(J6),1);=FLOOR.MATH(-LOG10(K6),1);=FLOOR.MATH(-LOG10(L6),1);=FLOOR.MATH(-LOG10(M6),1);=FLOOR.MATH(-LOG10(N6),1);=FLOOR.MATH(-LOG10(O6),1);=FLOOR.MATH(-LOG10(P6),1)
f6;6.8638e+01;2.0974e+02;6.2386e+01;2.8158e+02;5.1516e+01;2.4913e+01;3.9157e+01;9.5693e+01;3.8954e+01;8.7822e+01;2.8488e+02;6.0436e+01;5.2633e+01;2.1556e+02;4.6093e+02;;=FLOOR.MATH(-LOG10(B7),1);=FLOOR.MATH(-LOG10(C7),1);=FLOOR.MATH(-LOG10(D7),1);=FLOOR.MATH(-LOG10(E7),1);=FLOOR.MATH(-LOG10(F7),1);=FLOOR.MATH(-LOG10(G7),1);=FLOOR.MATH(-LOG10(H7),1);=FLOOR.MATH(-LOG10(I7),1);=FLOOR.MATH(-LOG10(J7),1);=FLOOR.MATH(-LOG10(K7),1);=FLOOR.MATH(-LOG10(L7),1);=FLOOR.MATH(-LOG10(M7),1);=FLOOR.MATH(-LOG10(N7),1);=FLOOR.MATH(-LOG10(O7),1);=FLOOR.MATH(-LOG10(P7),1)
f7;1.0929e+01;4.4915e+01;5.0782e+01;3.3067e+01;1.3288e+01;3.4399e+01;5.5648e+01;2.2901e+01;1.0762e+01;1.9194e+01;2.5023e+01;2.9196e+01;2.6112e+01;3.4137e+01;1.5784e+01;;=FLOOR.MATH(-LOG10(B8),1);=FLOOR.MATH(-LOG10(C8),1);=FLOOR.MATH(-LOG10(D8),1);=FLOOR.MATH(-LOG10(E8),1);=FLOOR.MATH(-LOG10(F8),1);=FLOOR.MATH(-LOG10(G8),1);=FLOOR.MATH(-LOG10(H8),1);=FLOOR.MATH(-LOG10(I8),1);=FLOOR.MATH(-LOG10(J8),1);=FLOOR.MATH(-LOG10(K8),1);=FLOOR.MATH(-LOG10(L8),1);=FLOOR.MATH(-LOG10(M8),1);=FLOOR.MATH(-LOG10(N8),1);=FLOOR.MATH(-LOG10(O8),1);=FLOOR.MATH(-LOG10(P8),1)
f8;1.8697e+01;1.6571e+02;2.0480e+01;1.4019e+02;1.9529e+02;7.6616e+01;9.0039e+01;8.6644e+01;1.0049e+02;6.2575e+01;1.1020e+02;1.4833e+02;7.5342e+01;1.9670e+02;1.2997e+02;;=FLOOR.MATH(-LOG10(B9),1);=FLOOR.MATH(-LOG10(C9),1);=FLOOR.MATH(-LOG10(D9),1);=FLOOR.MATH(-LOG10(E9),1);=FLOOR.MATH(-LOG10(F9),1);=FLOOR.MATH(-LOG10(G9),1);=FLOOR.MATH(-LOG10(H9),1);=FLOOR.MATH(-LOG10(I9),1);=FLOOR.MATH(-LOG10(J9),1);=FLOOR.MATH(-LOG10(K9),1);=FLOOR.MATH(-LOG10(L9),1);=FLOOR.MATH(-LOG10(M9),1);=FLOOR.MATH(-LOG10(N9),1);=FLOOR.MATH(-LOG10(O9),1);=FLOOR.MATH(-LOG10(P9),1)
f9;1.6642e+01;2.6584e+01;7.0375e+01;2.7365e+01;2.0295e+01;1.8833e+01;6.1044e+01;1.6274e+01;7.5681e+01;5.1431e+01;1.8349e+01;8.6615e+01;1.0310e+02;2.6187e+01;7.8318e+01;;=FLOOR.MATH(-LOG10(B10),1);=FLOOR.MATH(-LOG10(C10),1);=FLOOR.MATH(-LOG10(D10),1);=FLOOR.MATH(-LOG10(E10),1);=FLOOR.MATH(-LOG10(F10),1);=FLOOR.MATH(-LOG10(G10),1);=FLOOR.MATH(-LOG10(H10),1);=FLOOR.MATH(-LOG10(I10),1);=FLOOR.MATH(-LOG10(J10),1);=FLOOR.MATH(-LOG10(K10),1);=FLOOR.MATH(-LOG10(L10),1);=FLOOR.MATH(-LOG10(M10),1);=FLOOR.MATH(-LOG10(N10),1);=FLOOR.MATH(-LOG10(O10),1);=FLOOR.MATH(-LOG10(P10),1)
f10;1.0000e+03;1.0000e+03;1.0000e+03;1.0000e+03;1.0000e+03;1.0000e+03;1.0000e+03;1.0000e+03;1.0000e+03;1.0000e+03;1.0000e+03;1.0000e+03;1.0000e+03;1.0000e+03;1.0000e+03;;=FLOOR.MATH(-LOG10(B11),1);=FLOOR.MATH(-LOG10(C11),1);=FLOOR.MATH(-LOG10(D11),1);=FLOOR.MATH(-LOG10(E11),1);=FLOOR.MATH(-LOG10(F11),1);=FLOOR.MATH(-LOG10(G11),1);=FLOOR.MATH(-LOG10(H11),1);=FLOOR.MATH(-LOG10(I11),1);=FLOOR.MATH(-LOG10(J11),1);=FLOOR.MATH(-LOG10(K11),1);=FLOOR.MATH(-LOG10(L11),1);=FLOOR.MATH(-LOG10(M11),1);=FLOOR.MATH(-LOG10(N11),1);=FLOOR.MATH(-LOG10(O11),1);=FLOOR.MATH(-LOG10(P11),1)
