sep=;
Benchmarks;Instance 1;Instance 2;Instance 3;Instance 4;Instance 5;Instance 6;Instance 7;Instance 8;Instance 9;Instance 10;Instance 11;Instance 12;Instance 13;Instance 14;Instance 15;;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores;Scores
f1;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;;=FLOOR.MATH(-LOG10(B2),1);=FLOOR.MATH(-LOG10(C2),1);=FLOOR.MATH(-LOG10(D2),1);=FLOOR.MATH(-LOG10(E2),1);=FLOOR.MATH(-LOG10(F2),1);=FLOOR.MATH(-LOG10(G2),1);=FLOOR.MATH(-LOG10(H2),1);=FLOOR.MATH(-LOG10(I2),1);=FLOOR.MATH(-LOG10(J2),1);=FLOOR.MATH(-LOG10(K2),1);=FLOOR.MATH(-LOG10(L2),1);=FLOOR.MATH(-LOG10(M2),1);=FLOOR.MATH(-LOG10(N2),1);=FLOOR.MATH(-LOG10(O2),1);=FLOOR.MATH(-LOG10(P2),1)
f2;1.0000e-14;1.3885e-02;7.5311e+00;1.0000e-14;3.4493e-02;1.4211e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;9.8055e-13;8.5265e-14;1.0000e-14;2.9913e-04;8.1199e-03;;=FLOOR.MATH(-LOG10(B3),1);=FLOOR.MATH(-LOG10(C3),1);=FLOOR.MATH(-LOG10(D3),1);=FLOOR.MATH(-LOG10(E3),1);=FLOOR.MATH(-LOG10(F3),1);=FLOOR.MATH(-LOG10(G3),1);=FLOOR.MATH(-LOG10(H3),1);=FLOOR.MATH(-LOG10(I3),1);=FLOOR.MATH(-LOG10(J3),1);=FLOOR.MATH(-LOG10(K3),1);=FLOOR.MATH(-LOG10(L3),1);=FLOOR.MATH(-LOG10(M3),1);=FLOOR.MATH(-LOG10(N3),1);=FLOOR.MATH(-LOG10(O3),1);=FLOOR.MATH(-LOG10(P3),1)
f3;1.9899e+00;9.9496e-01;1.9899e+00;1.9899e+00;2.9849e+00;1.9899e+00;1.0000e-14;4.9748e+00;6.3238e-13;2.9849e+00;9.9496e-01;1.9899e+00;1.9900e+00;9.9496e-01;4.9748e+00;;=FLOOR.MATH(-LOG10(B4),1);=FLOOR.MATH(-LOG10(C4),1);=FLOOR.MATH(-LOG10(D4),1);=FLOOR.MATH(-LOG10(E4),1);=FLOOR.MATH(-LOG10(F4),1);=FLOOR.MATH(-LOG10(G4),1);=FLOOR.MATH(-LOG10(H4),1);=FLOOR.MATH(-LOG10(I4),1);=FLOOR.MATH(-LOG10(J4),1);=FLOOR.MATH(-LOG10(K4),1);=FLOOR.MATH(-LOG10(L4),1);=FLOOR.MATH(-LOG10(M4),1);=FLOOR.MATH(-LOG10(N4),1);=FLOOR.MATH(-LOG10(O4),1);=FLOOR.MATH(-LOG10(P4),1)
f4;5.9697e+00;5.9697e+00;2.9849e+00;2.9849e+00;1.9899e+00;2.9849e+00;2.0346e+00;1.9899e+00;5.9697e+00;9.9496e-01;4.9749e+00;1.9921e+00;3.9798e+00;4.9748e+00;2.9849e+00;;=FLOOR.MATH(-LOG10(B5),1);=FLOOR.MATH(-LOG10(C5),1);=FLOOR.MATH(-LOG10(D5),1);=FLOOR.MATH(-LOG10(E5),1);=FLOOR.MATH(-LOG10(F5),1);=FLOOR.MATH(-LOG10(G5),1);=FLOOR.MATH(-LOG10(H5),1);=FLOOR.MATH(-LOG10(I5),1);=FLOOR.MATH(-LOG10(J5),1);=FLOOR.MATH(-LOG10(K5),1);=FLOOR.MATH(-LOG10(L5),1);=FLOOR.MATH(-LOG10(M5),1);=FLOOR.MATH(-LOG10(N5),1);=FLOOR.MATH(-LOG10(O5),1);=FLOOR.MATH(-LOG10(P5),1)
f5;1.0000e-14;1.0000e-14;1.4211e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0658e-14;1.0000e-14;1.0000e-14;1.0000e-14;1.0000e-14;;=FLOOR.MATH(-LOG10(B6),1);=FLOOR.MATH(-LOG10(C6),1);=FLOOR.MATH(-LOG10(D6),1);=FLOOR.MATH(-LOG10(E6),1);=FLOOR.MATH(-LOG10(F6),1);=FLOOR.MATH(-LOG10(G6),1);=FLOOR.MATH(-LOG10(H6),1);=FLOOR.MATH(-LOG10(I6),1);=FLOOR.MATH(-LOG10(J6),1);=FLOOR.MATH(-LOG10(K6),1);=FLOOR.MATH(-LOG10(L6),1);=FLOOR.MATH(-LOG10(M6),1);=FLOOR.MATH(-LOG10(N6),1);=FLOOR.MATH(-LOG10(O6),1);=FLOOR.MATH(-LOG10(P6),1)
f6;7.3612e-06;9.4990e-03;1.8071e-06;9.1513e-07;6.1608e-03;1.3276e-05;3.9250e-04;6.2411e-07;1.1246e-04;9.6642e-07;6.2211e-04;1.0112e-07;9.1848e-06;1.6324e-06;7.5244e-04;;=FLOOR.MATH(-LOG10(B7),1);=FLOOR.MATH(-LOG10(C7),1);=FLOOR.MATH(-LOG10(D7),1);=FLOOR.MATH(-LOG10(E7),1);=FLOOR.MATH(-LOG10(F7),1);=FLOOR.MATH(-LOG10(G7),1);=FLOOR.MATH(-LOG10(H7),1);=FLOOR.MATH(-LOG10(I7),1);=FLOOR.MATH(-LOG10(J7),1);=FLOOR.MATH(-LOG10(K7),1);=FLOOR.MATH(-LOG10(L7),1);=FLOOR.MATH(-LOG10(M7),1);=FLOOR.MATH(-LOG10(N7),1);=FLOOR.MATH(-LOG10(O7),1);=FLOOR.MATH(-LOG10(P7),1)
f7;4.5841e-01;9.9537e-03;3.7993e-01;1.2074e-02;3.5299e-01;1.2421e-02;1.3978e-01;2.1270e+00;1.2407e-02;4.9834e-02;7.5202e-03;6.1356e-03;4.4816e-01;1.0000e-14;1.1369e-13;;=FLOOR.MATH(-LOG10(B8),1);=FLOOR.MATH(-LOG10(C8),1);=FLOOR.MATH(-LOG10(D8),1);=FLOOR.MATH(-LOG10(E8),1);=FLOOR.MATH(-LOG10(F8),1);=FLOOR.MATH(-LOG10(G8),1);=FLOOR.MATH(-LOG10(H8),1);=FLOOR.MATH(-LOG10(I8),1);=FLOOR.MATH(-LOG10(J8),1);=FLOOR.MATH(-LOG10(K8),1);=FLOOR.MATH(-LOG10(L8),1);=FLOOR.MATH(-LOG10(M8),1);=FLOOR.MATH(-LOG10(N8),1);=FLOOR.MATH(-LOG10(O8),1);=FLOOR.MATH(-LOG10(P8),1)
f8;4.4192e+00;8.9913e-01;7.3595e-01;8.4635e-01;1.2141e+00;7.0972e-01;2.0297e+00;1.0883e+00;7.3567e-01;9.5516e-01;9.6725e-01;1.1565e+00;4.1291e-01;1.0246e+00;1.2262e+00;;=FLOOR.MATH(-LOG10(B9),1);=FLOOR.MATH(-LOG10(C9),1);=FLOOR.MATH(-LOG10(D9),1);=FLOOR.MATH(-LOG10(E9),1);=FLOOR.MATH(-LOG10(F9),1);=FLOOR.MATH(-LOG10(G9),1);=FLOOR.MATH(-LOG10(H9),1);=FLOOR.MATH(-LOG10(I9),1);=FLOOR.MATH(-LOG10(J9),1);=FLOOR.MATH(-LOG10(K9),1);=FLOOR.MATH(-LOG10(L9),1);=FLOOR.MATH(-LOG10(M9),1);=FLOOR.MATH(-LOG10(N9),1);=FLOOR.MATH(-LOG10(O9),1);=FLOOR.MATH(-LOG10(P9),1)
f9;4.3337e-01;4.9380e-01;4.6854e-01;2.3518e+00;1.8790e-01;3.8366e+00;1.1111e+00;1.3202e+00;4.6467e+00;3.6968e-01;1.0901e+00;2.0896e-01;6.2342e-01;8.8101e-01;5.5206e-01;;=FLOOR.MATH(-LOG10(B10),1);=FLOOR.MATH(-LOG10(C10),1);=FLOOR.MATH(-LOG10(D10),1);=FLOOR.MATH(-LOG10(E10),1);=FLOOR.MATH(-LOG10(F10),1);=FLOOR.MATH(-LOG10(G10),1);=FLOOR.MATH(-LOG10(H10),1);=FLOOR.MATH(-LOG10(I10),1);=FLOOR.MATH(-LOG10(J10),1);=FLOOR.MATH(-LOG10(K10),1);=FLOOR.MATH(-LOG10(L10),1);=FLOOR.MATH(-LOG10(M10),1);=FLOOR.MATH(-LOG10(N10),1);=FLOOR.MATH(-LOG10(O10),1);=FLOOR.MATH(-LOG10(P10),1)
f10;1.8380e+01;4.9412e+01;3.2339e+02;6.3997e+02;1.4350e+00;2.8381e+02;1.0000e+03;8.5776e+02;1.8944e+02;8.5398e+02;7.5582e+00;4.4583e+02;2.4028e+02;1.0000e+03;9.7356e+00;;=FLOOR.MATH(-LOG10(B11),1);=FLOOR.MATH(-LOG10(C11),1);=FLOOR.MATH(-LOG10(D11),1);=FLOOR.MATH(-LOG10(E11),1);=FLOOR.MATH(-LOG10(F11),1);=FLOOR.MATH(-LOG10(G11),1);=FLOOR.MATH(-LOG10(H11),1);=FLOOR.MATH(-LOG10(I11),1);=FLOOR.MATH(-LOG10(J11),1);=FLOOR.MATH(-LOG10(K11),1);=FLOOR.MATH(-LOG10(L11),1);=FLOOR.MATH(-LOG10(M11),1);=FLOOR.MATH(-LOG10(N11),1);=FLOOR.MATH(-LOG10(O11),1);=FLOOR.MATH(-LOG10(P11),1)
